id,type,name
A6NGA9,Substrate,A6NGA9
Q8TC76,Substrate,Q8TC76
P19404,Substrate,P19404
Q5SQI0,Substrate,Q5SQI0
Q15166,Substrate,Q15166
Q9NV92,Substrate,Q9NV92
Q8NA75,Substrate,Q8NA75
Q96Q89,Substrate,Q96Q89
Q06330,Substrate,Q06330
P15515,Substrate,P15515
Q1A5X6,Substrate,Q1A5X6
O75607,Substrate,O75607
P06729,Substrate,P06729
P55036,Substrate,P55036
Q9NYV7,Substrate,Q9NYV7
Q3LI77,Substrate,Q3LI77
Q8IYB9,Substrate,Q8IYB9
A0A3B3IT33,Substrate,A0A3B3IT33
Q8NCQ5,E3,Q8NCQ5
Q9BQ52,Substrate,Q9BQ52
Q6ZV60,Substrate,Q6ZV60
O94842,Substrate,O94842
Q13825,Substrate,Q13825
Q01453,Substrate,Q01453
Q9Y2W2,Substrate,Q9Y2W2
P27707,Substrate,P27707
Q8TCG2,Substrate,Q8TCG2
O95925,Substrate,O95925
Q9H3S1,Substrate,Q9H3S1
P62857,Substrate,P62857
Q9HCN8,Substrate,Q9HCN8
A6NCF6,Substrate,A6NCF6
Q8IX03,Substrate,Q8IX03
P20155,Substrate,P20155
Q8NGD5,Substrate,Q8NGD5
Q8ND61,Substrate,Q8ND61
O75309,Substrate,O75309
Q9H0K1,Substrate,Q9H0K1
P78508,Substrate,P78508
Q9NRW4,Substrate,Q9NRW4
O75061,Substrate,O75061
P62508,Substrate,P62508
Q3SXY8,Substrate,Q3SXY8
Q9H444,Substrate,Q9H444
Q9H4G1,Substrate,Q9H4G1
Q7L8A9,Substrate,Q7L8A9
Q14003,Substrate,Q14003
P35613,Substrate,P35613
Q6P5W5,Substrate,Q6P5W5
Q96CE8,Substrate,Q96CE8
Q8NGS2,Substrate,Q8NGS2
Q9HDC5,Substrate,Q9HDC5
A0A2R8Y7Y5,Substrate,A0A2R8Y7Y5
O60711,Substrate,O60711
P01597,Substrate,P01597
A0A0A0MTA4,Substrate,A0A0A0MTA4
Q9BSK2,Substrate,Q9BSK2
O95073,Substrate,O95073
P01106,Substrate,P01106
O95905,Substrate,O95905
O75820,Substrate,O75820
O76013,Substrate,O76013
A8MPY1,Substrate,A8MPY1
Q96S59,Substrate,Q96S59
O14599,Substrate,O14599
Q14500,Substrate,Q14500
A6NKT7,Substrate,A6NKT7
Q7Z309,Substrate,Q7Z309
Q8NH00,Substrate,Q8NH00
Q86XJ0,Substrate,Q86XJ0
Q9P2K1,Substrate,Q9P2K1
P16989,Substrate,P16989
Q9HAV0,Substrate,Q9HAV0
Q5VVW2,Substrate,Q5VVW2
Q9H0A6,Substrate,Q9H0A6
Q96SB8,Substrate,Q96SB8
Q9C004,Substrate,Q9C004
Q99848,Substrate,Q99848
Q5VWM3,Substrate,Q5VWM3
Q8TBE7,Substrate,Q8TBE7
P98153,Substrate,P98153
Q6ZNR0,Substrate,Q6ZNR0
P51532,Substrate,P51532
Q9UNW9,Substrate,Q9UNW9
P0CG00,Substrate,P0CG00
Q9NXG0,Substrate,Q9NXG0
A8MVU1,Substrate,A8MVU1
Q5VYM1,Substrate,Q5VYM1
P28370,Substrate,P28370
Q14541,Substrate,Q14541
A0A1B0GVG6,Substrate,A0A1B0GVG6
O94851,Substrate,O94851
Q9NQ86,E3,Q9NQ86
P05181,Substrate,P05181
Q96EF0,Substrate,Q96EF0
O60563,Substrate,O60563
P47972,Substrate,P47972
Q9BUJ2,Substrate,Q9BUJ2
Q9HCT0,Substrate,Q9HCT0
Q9ULV0,Substrate,Q9ULV0
Q9H8S9,Substrate,Q9H8S9
Q9BXA9,Substrate,Q9BXA9
Q9Y5R6,Substrate,Q9Y5R6
A0A0B4J1U3,Substrate,A0A0B4J1U3
Q9NTM9,Substrate,Q9NTM9
P23229,Substrate,P23229
G5E9R7,Substrate,G5E9R7
P52736,Substrate,P52736
Q14585,Substrate,Q14585
Q5T7P3,Substrate,Q5T7P3
O94979,Substrate,O94979
P01768,Substrate,P01768
Q9Y4M8,Substrate,Q9Y4M8
P49770,Substrate,P49770
P10415,Substrate,P10415
P37023,Substrate,P37023
A0A1B0GUQ0,Substrate,A0A1B0GUQ0
Q9H857,Substrate,Q9H857
Q16181,Substrate,Q16181
A0A0B4J1U6,Substrate,A0A0B4J1U6
Q9H6V9,Substrate,Q9H6V9
P24347,Substrate,P24347
Q96HV5,Substrate,Q96HV5
Q8IXH6,Substrate,Q8IXH6
Q92569,Substrate,Q92569
Q96D09,Substrate,Q96D09
O43557,Substrate,O43557
O75113,Substrate,O75113
Q86X29,Substrate,Q86X29
Q9UIJ7,Substrate,Q9UIJ7
P41219,Substrate,P41219
Q15942,Substrate,Q15942
P58173,Substrate,P58173
A0A3B3IRV3,Substrate,A0A3B3IRV3
Q9UNF1,Substrate,Q9UNF1
O75953,Substrate,O75953
